Time Elapsed (ms), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Mag X (uT), Mag Y (uT), Mag Z (uT), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s)
961,0.03,7.17,6.09,-30.25,-0.67,-14.38,0.03,-0.08,-0.01

968,0.09,7.19,6.06,-30.37,-1.23,-13.62,0.06,-0.08,-0.01

975,0.04,7.19,6.32,-30.25,-0.88,-13.45,0.09,-0.08,-0.01

983,0.09,7.08,6.55,-30.02,-0.73,-13.74,0.07,-0.07,-0.01

989,0.08,7.09,6.50,-30.08,-0.50,-13.53,0.03,-0.08,-0.01

996,0.04,7.11,6.30,-30.40,-0.79,-14.41,0.03,-0.08,-0.01

1003,0.03,7.18,6.19,-30.25,-1.23,-14.18,0.03,-0.08,-0.01

1010,0.07,7.20,6.32,-30.28,-0.50,-14.41,0.05,-0.08,-0.01

1022,0.07,7.17,6.31,-30.31,-0.88,-14.38,0.04,-0.08,-0.01

1028,0.06,7.15,6.20,-30.90,-1.34,-14.88,0.04,-0.08,-0.01

1035,0.06,7.17,6.07,-30.52,-1.05,-14.29,0.06,-0.08,-0.01

1053,0.04,7.11,6.48,-30.02,-0.91,-14.62,0.04,-0.08,-0.01

1066,0.08,7.14,6.22,-29.99,-1.90,-13.45,0.02,-0.08,-0.01

1073,0.06,7.26,6.04,-30.49,-1.37,-13.59,0.04,-0.08,-0.01

1080,0.03,7.16,6.08,-30.43,-0.99,-13.83,0.08,-0.09,-0.01

1087,0.06,7.21,6.39,-30.11,-0.82,-14.15,0.09,-0.08,-0.01

1094,0.03,7.11,6.70,-30.58,-1.02,-14.64,0.06,-0.07,-0.01

1104,0.06,7.20,6.36,-30.61,-0.91,-14.24,0.01,-0.08,-0.01

1111,0.05,7.15,6.15,-29.61,-0.70,-13.68,0.03,-0.08,-0.01

1118,0.17,7.16,6.28,-29.64,-1.26,-14.29,0.05,-0.08,-0.01

1125,0.19,7.19,6.26,-30.05,-0.99,-14.29,0.05,-0.08,-0.02

1132,0.49,7.19,6.53,-29.93,-1.17,-13.77,0.05,-0.08,-0.01

1139,-0.21,7.31,4.44,-30.34,-1.14,-13.62,0.16,-0.10,-0.02

1146,0.47,7.62,5.89,-30.52,-0.82,-14.70,0.43,-0.17,-0.09

1153,0.52,6.58,8.47,-30.02,-0.70,-14.12,0.29,-0.07,-0.01

1164,0.07,6.92,6.25,-30.11,-1.29,-13.77,-0.18,-0.04,0.03

1182,0.14,7.24,6.17,-30.43,-0.76,-14.06,0.14,-0.06,-0.00

1195,0.03,7.33,5.73,-29.87,-0.99,-13.62,0.12,-0.02,0.06

1202,0.27,7.22,6.75,-30.23,-0.61,-13.68,0.12,0.03,0.07

1209,0.04,7.12,6.55,-30.14,-0.82,-14.00,0.07,0.03,0.09

1216,0.60,7.49,6.88,-30.17,-0.41,-14.53,0.01,0.14,0.12

1222,0.29,6.70,6.77,-29.90,-0.79,-14.09,0.00,0.12,0.15

1229,0.35,6.77,6.91,-29.58,-0.73,-14.18,-0.01,0.10,0.14

1237,0.99,7.01,6.91,-30.11,0.00,-14.15,-0.10,0.11,0.17

1247,0.53,7.47,5.75,-30.20,-0.47,-15.23,-0.19,0.12,0.35

1254,0.22,7.08,5.87,-30.17,-0.94,-14.62,0.03,-0.07,0.35

1260,0.44,7.39,5.84,-29.93,-0.73,-14.24,0.21,-0.24,0.39

1267,-0.04,7.43,5.74,-29.96,-0.58,-14.29,0.29,-0.24,0.40

1274,-0.29,6.22,5.76,-30.25,-0.18,-14.41,0.34,-0.13,0.34

1282,-1.52,6.31,5.79,-30.17,0.38,-15.55,0.33,0.07,0.18

1289,-1.30,6.08,6.30,-30.20,0.58,-15.43,0.29,0.28,-0.02

1307,7.76,15.80,10.49,-29.99,0.41,-15.43,0.37,0.52,-0.18

1319,-0.62,8.84,10.57,-30.14,0.15,-14.50,0.16,-0.32,-0.22

1330,-3.94,0.97,8.79,-30.37,0.18,-14.79,0.06,-0.48,-0.40

1336,-0.94,9.38,10.67,-29.96,0.12,-13.83,-0.08,-0.76,-0.54

1343,-0.95,5.51,6.98,-30.11,-0.20,-14.38,-0.25,-0.74,-0.59

1350,0.45,3.91,7.27,-29.82,-0.82,-14.18,-0.21,-0.53,-0.39

1357,0.36,8.54,3.67,-29.70,-0.38,-13.80,-0.04,-0.16,-0.08

1365,1.67,12.53,3.09,-29.82,-0.96,-13.68,0.03,0.12,0.18

1372,0.98,8.28,4.57,-30.17,-0.44,-13.68,0.11,0.37,0.27

1379,-0.17,7.18,5.83,-30.02,-1.11,-13.97,0.29,0.56,0.34

1385,1.28,7.61,6.21,-29.96,-0.79,-13.91,0.25,0.80,0.43

1396,2.40,9.04,9.40,-29.67,-0.99,-13.86,-0.11,0.97,0.41

1403,0.11,6.88,2.79,-29.23,-0.61,-13.77,-0.38,1.15,0.35

1411,2.36,12.03,8.90,-29.06,-0.53,-14.59,-0.69,1.15,0.27

1418,1.02,9.58,3.08,-28.88,-0.73,-14.94,-0.81,1.16,0.10

1436,1.56,7.79,1.54,-28.85,-0.96,-15.43,-0.39,1.23,-0.34

1449,1.37,9.15,8.03,-28.35,-1.20,-16.57,-0.27,1.23,-0.42

1456,0.39,7.62,8.69,-27.80,-1.11,-16.08,-0.28,1.17,-0.29

1462,0.45,8.34,9.22,-27.57,-1.26,-16.57,-0.33,0.77,-0.13

1472,0.99,7.63,8.61,-27.57,-0.67,-17.28,-0.07,0.34,-0.10

1479,1.04,7.47,8.62,-27.21,-0.85,-17.01,0.09,0.04,-0.15

1486,1.02,7.44,8.10,-27.33,-1.34,-17.13,0.12,-0.25,-0.23

1494,0.72,8.14,6.86,-27.30,-1.64,-17.92,0.05,-0.43,-0.29

1501,0.58,8.57,6.87,-27.57,-0.99,-18.74,0.09,-0.38,-0.29

1508,0.92,8.36,7.34,-27.21,-1.32,-18.56,0.11,-0.35,-0.23

1514,1.03,8.08,7.58,-27.13,-2.37,-18.71,0.13,-0.36,-0.18

1521,1.00,7.37,7.75,-27.19,-2.25,-18.85,0.09,-0.39,-0.10

1528,1.16,8.10,7.33,-26.95,-1.64,-19.82,-0.01,-0.44,-0.13

1540,1.02,7.97,7.01,-27.01,-2.75,-19.56,-0.16,-0.63,-0.07

1547,0.88,8.19,6.62,-26.63,-2.66,-20.05,-0.19,-0.59,-0.05

1565,1.13,8.59,7.12,-26.75,-3.89,-20.58,-0.32,-0.30,0.08

1578,1.90,8.86,7.55,-26.75,-4.41,-21.02,-0.31,-0.26,-0.00

1585,1.98,9.10,7.60,-26.25,-4.91,-21.46,-0.18,-0.22,-0.11

1591,1.72,9.36,7.59,-25.78,-4.50,-21.95,-0.01,-0.21,-0.20

1598,1.26,9.94,7.79,-26.02,-5.20,-22.60,0.12,-0.18,-0.24

1605,0.93,10.07,7.11,-25.93,-6.17,-22.54,0.25,-0.23,-0.25

1612,0.73,10.32,6.87,-25.26,-6.02,-22.89,0.34,-0.28,-0.24

1623,0.81,10.44,6.43,-24.50,-6.52,-23.59,0.37,-0.31,-0.14

1630,0.89,10.14,6.46,-24.85,-7.04,-24.41,0.32,-0.30,-0.04

1637,0.51,10.02,6.22,-24.67,-6.93,-25.67,0.21,-0.26,0.10

1644,0.32,9.21,5.98,-24.35,-7.37,-25.69,0.18,-0.14,0.24

1651,0.46,8.84,6.48,-24.09,-8.16,-26.60,0.20,0.00,0.31

1657,0.20,8.34,6.66,-23.68,-8.39,-26.63,0.20,0.03,0.41

1665,0.25,7.55,6.49,-23.68,-8.97,-27.04,0.21,0.02,0.44

1672,0.34,7.59,6.31,-23.27,-8.97,-26.78,0.26,0.00,0.43

1693,0.63,7.30,5.76,-22.57,-9.97,-28.85,0.26,0.06,0.29

1703,0.64,7.39,6.30,-22.22,-10.93,-28.44,0.20,0.22,0.16

1710,0.45,7.67,6.87,-21.89,-10.73,-28.71,0.22,0.25,0.06

1717,0.32,7.67,9.16,-21.69,-11.28,-28.50,0.25,0.16,-0.01

1724,0.10,7.90,7.49,-21.43,-11.05,-28.91,0.28,0.02,-0.05

1731,-0.11,8.02,7.31,-21.16,-11.55,-29.41,0.36,-0.06,-0.07

1738,-0.23,7.98,7.06,-20.67,-11.52,-29.70,0.53,-0.10,-0.04

1745,-0.37,8.07,7.02,-20.72,-11.40,-29.87,0.56,-0.09,0.02

1753,-0.01,7.98,6.39,-20.20,-12.01,-30.28,0.62,-0.05,0.14

1763,0.03,7.49,6.62,-20.26,-12.31,-30.96,0.63,0.05,0.29

1769,0.26,6.92,6.33,-20.20,-12.31,-30.84,0.64,0.10,0.38

1776,0.13,6.32,6.38,-19.56,-12.16,-30.34,0.75,0.14,0.44

1783,0.37,5.42,6.07,-19.73,-12.10,-31.04,0.90,0.13,0.43

1791,0.36,4.62,6.04,-19.32,-11.87,-31.45,1.08,0.05,0.37

1798,0.61,3.53,5.79,-19.12,-11.87,-31.51,1.30,-0.07,0.24

1816,-0.22,0.70,3.52,-18.56,-11.58,-31.92,1.76,-0.21,-0.01

1828,-1.00,-1.19,1.37,-18.80,-10.76,-32.27,1.91,-0.11,0.10

1836,-1.08,-2.29,0.36,-18.04,-10.87,-32.59,1.93,-0.07,0.37

1846,-0.34,-3.52,-0.48,-18.27,-9.24,-32.65,1.86,-0.16,0.84

1852,0.61,-3.80,-1.00,-18.39,-8.74,-32.36,1.73,-0.31,1.21

1859,1.08,-4.23,-1.75,-18.47,-7.92,-32.97,1.54,-0.57,1.32

1866,1.18,-4.90,-2.57,-19.09,-7.40,-33.12,1.34,-0.83,1.40

1873,1.18,-4.52,-2.47,-19.26,-7.10,-32.45,1.00,-1.13,1.16

1881,0.70,-3.47,-2.90,-20.14,-6.61,-33.03,0.63,-1.45,0.78

1888,0.04,-1.39,-3.54,-20.93,-5.93,-32.10,0.09,-1.74,0.39

1895,-0.80,-0.04,-3.41,-21.37,-6.37,-32.24,-0.45,-1.68,0.15

1905,-2.12,2.83,-1.58,-22.16,-6.28,-31.69,-1.37,-1.04,-0.09

1912,-2.02,6.03,1.23,-22.89,-6.34,-31.13,-2.02,-0.57,-0.08

1920,-1.00,8.55,5.20,-23.27,-6.78,-29.99,-2.53,-0.20,0.09

1927,-0.96,10.41,6.70,-23.03,-7.13,-29.70,-2.56,0.42,0.28

1945,-0.58,13.87,12.38,-23.53,-7.89,-28.12,-2.35,0.82,0.47

1957,-0.34,15.66,11.08,-23.06,-8.36,-27.95,-1.84,0.50,0.48

1965,0.78,16.86,13.28,-23.79,-8.16,-27.57,-1.16,0.45,0.50

1972,0.79,16.29,14.03,-23.88,-7.02,-27.16,-0.29,0.46,0.49

1979,1.44,15.07,15.01,-23.30,-7.04,-26.81,0.43,0.38,0.36

1989,1.50,13.06,14.46,-23.88,-6.96,-27.10,0.92,-0.11,0.06

1995,1.37,11.77,13.13,-24.14,-6.58,-26.81,1.15,-0.47,-0.25

2002,1.18,11.08,11.89,-24.32,-5.52,-26.98,1.24,-0.65,-0.50

2010,0.58,10.30,10.47,-24.44,-5.85,-26.72,1.30,-0.68,-0.72

2017,0.02,9.76,9.43,-24.58,-5.20,-26.83,1.27,-0.59,-0.86

2024,-0.53,9.71,8.54,-24.35,-4.82,-27.07,1.16,-0.34,-0.92

2031,-0.93,9.51,8.95,-24.47,-5.00,-26.75,0.94,-0.20,-0.91

2038,-0.87,9.63,7.97,-24.58,-5.12,-27.57,0.69,-0.13,-0.85

2049,-0.46,9.71,8.27,-24.76,-5.29,-27.83,0.49,0.12,-0.66

2056,-0.23,9.26,8.29,-24.82,-4.56,-27.97,0.35,0.16,-0.56

2074,0.23,8.34,7.95,-24.55,-5.47,-27.68,0.16,0.22,-0.46

2086,0.11,7.52,8.44,-23.74,-5.35,-28.35,0.14,0.24,-0.44

2094,0.02,7.26,8.06,-23.30,-5.64,-28.97,0.02,0.08,-0.49

2101,-0.27,7.42,7.48,-23.00,-6.34,-28.56,-0.04,0.01,-0.51

2108,-0.29,7.33,7.15,-23.06,-6.43,-29.32,-0.08,0.03,-0.49

2115,-0.28,7.26,7.06,-22.86,-6.43,-29.87,-0.14,0.06,-0.42

2121,-0.25,7.05,6.83,-23.18,-6.99,-30.23,-0.21,0.10,-0.35

2132,-0.01,6.54,6.66,-22.45,-7.83,-29.64,-0.25,0.20,-0.26

2139,0.06,6.21,6.58,-21.78,-7.48,-29.79,-0.23,0.28,-0.24

2146,0.13,5.94,6.78,-22.24,-7.51,-29.82,-0.20,0.30,-0.23

2153,0.11,5.56,6.78,-22.01,-7.63,-30.31,-0.20,0.25,-0.25

2160,-0.06,5.46,6.66,-22.04,-8.30,-30.34,-0.22,0.18,-0.27

2167,0.01,5.61,6.47,-21.54,-8.30,-29.99,-0.21,0.14,-0.27

2175,-0.07,5.71,6.41,-21.25,-8.21,-30.55,-0.19,0.14,-0.23

2181,-0.07,5.74,6.47,-20.90,-8.33,-30.99,-0.13,0.13,-0.19

2203,0.26,6.29,6.29,-20.49,-9.12,-30.14,0.06,-0.06,-0.04

2212,0.52,6.24,5.81,-20.23,-9.12,-30.52,0.14,-0.18,-0.02

2220,0.57,6.04,5.32,-20.37,-9.30,-30.66,0.16,-0.18,-0.03

2227,0.55,5.86,5.23,-20.34,-9.44,-30.34,0.16,-0.08,-0.05

2234,0.69,5.83,5.21,-20.37,-9.73,-30.81,0.12,0.02,-0.09

2240,0.74,5.84,5.56,-20.05,-9.65,-30.46,0.04,0.13,-0.13

2247,0.60,5.90,5.61,-19.96,-10.08,-30.25,-0.02,0.18,-0.16

2254,0.41,5.87,5.78,-19.88,-9.82,-30.31,-0.05,0.24,-0.18

2262,0.06,5.89,6.20,-19.44,-9.44,-30.69,-0.09,0.27,-0.17

2272,-0.13,6.25,6.73,-19.09,-9.97,-32.13,-0.13,0.23,-0.09

2279,-0.03,6.55,7.14,-19.29,-10.44,-31.19,-0.08,0.19,-0.03

2286,0.20,6.79,7.22,-19.35,-10.44,-31.42,-0.02,0.12,0.04

2293,0.43,7.05,7.56,-19.00,-10.41,-31.31,0.08,0.03,0.05

2299,0.73,7.00,7.30,-18.91,-10.55,-31.51,0.16,-0.06,0.07

2307,0.91,6.66,7.17,-19.38,-10.58,-31.37,0.27,-0.12,0.04

2325,0.74,6.35,6.64,-19.18,-10.67,-30.61,0.33,-0.23,-0.10

2337,0.41,6.32,6.47,-19.12,-10.46,-32.04,0.30,-0.12,-0.14

2345,0.16,6.46,6.43,-19.09,-10.08,-31.89,0.19,-0.07,-0.11

2355,0.24,6.77,6.21,-18.97,-10.58,-31.39,0.10,0.14,-0.06

2362,0.38,6.80,6.15,-18.91,-10.08,-31.51,0.15,0.27,-0.06

2369,0.47,6.47,6.40,-19.15,-10.73,-32.48,0.24,0.47,-0.11

2376,0.69,6.31,7.02,-19.06,-10.11,-32.51,0.28,0.61,-0.19

2383,0.77,6.44,7.18,-18.80,-10.49,-32.07,0.23,0.63,-0.33

2390,0.96,6.87,7.40,-18.04,-9.85,-32.15,0.17,0.65,-0.40

2397,1.07,7.40,7.28,-17.86,-10.00,-32.53,0.12,0.67,-0.39

2404,0.86,7.49,7.05,-17.60,-10.14,-32.39,0.14,0.74,-0.30

2415,0.50,7.03,6.88,-17.60,-10.70,-32.18,0.41,0.88,-0.08

2422,0.61,6.30,7.14,-16.87,-10.03,-32.59,0.61,0.84,0.09

2430,0.54,5.63,7.23,-16.46,-9.53,-32.53,0.76,0.58,0.22

2436,0.84,4.96,6.60,-16.14,-9.68,-32.80,0.86,0.23,0.36

2454,1.49,2.59,3.91,-16.54,-9.00,-33.21,0.71,-0.98,0.85

2466,-0.11,-2.04,1.38,-17.39,-8.30,-32.97,0.61,-1.06,1.19

2474,-0.01,-3.68,0.12,-17.77,-8.62,-33.56,0.85,-0.94,1.27

2481,-1.98,-6.85,-0.17,-17.68,-8.10,-33.06,1.11,-0.84,1.44

2488,-1.54,-9.12,-1.01,-17.92,-7.60,-32.80,1.32,-0.75,1.36

2498,-2.21,-10.08,0.77,-19.00,-6.34,-32.65,1.40,-1.15,1.12

2505,-3.50,-9.02,1.34,-19.23,-5.14,-31.75,0.87,-2.00,0.76

2511,-4.41,-6.93,1.97,-19.99,-4.82,-31.69,-0.03,-2.72,-0.00

2519,2.02,0.97,2.65,-20.75,-4.97,-30.96,-1.27,-3.37,-0.56

2526,-1.26,4.45,2.72,-22.62,-4.33,-29.85,-2.49,-3.65,-0.67

2533,-0.88,8.85,1.67,-23.18,-4.88,-29.58,-3.55,-3.05,-1.00

2540,1.49,16.21,3.92,-23.71,-5.58,-27.74,-3.72,-1.34,-1.24

2547,3.48,20.69,4.56,-24.93,-7.37,-26.98,-3.58,0.40,-1.27

2554,4.21,23.35,8.06,-25.17,-7.37,-26.19,-3.09,2.40,-1.21

2566,5.33,24.84,12.76,-24.32,-7.42,-26.07,-2.10,3.81,-1.06

2584,2.40,18.28,18.57,-22.62,-8.36,-26.43,-0.57,1.96,-0.48

2596,0.93,12.90,14.36,-21.78,-8.39,-26.69,0.65,0.34,-0.38

2604,0.73,10.19,12.29,-21.98,-8.48,-26.92,0.99,-0.35,-0.41

2610,0.02,8.23,9.91,-22.04,-8.18,-26.60,1.11,-0.71,-0.44

2617,-0.52,7.27,7.92,-22.36,-7.80,-26.89,1.17,-0.87,-0.42

2624,-0.99,7.06,6.82,-22.36,-7.92,-26.83,1.12,-0.86,-0.38

2631,-0.74,7.84,6.02,-22.62,-7.66,-26.95,0.87,-0.91,-0.23

2641,-1.13,7.15,4.57,-22.42,-7.45,-27.10,0.58,-0.78,-0.05

2649,-0.42,7.10,4.75,-22.48,-7.63,-27.07,0.35,-0.67,0.03

2656,0.00,7.09,4.85,-22.30,-7.57,-27.39,0.13,-0.61,0.04

2663,0.39,7.42,5.30,-22.45,-7.66,-27.36,-0.05,-0.52,0.04

2669,0.85,7.72,5.61,-22.68,-8.10,-27.74,-0.25,-0.45,0.02

2676,0.81,7.93,5.71,-22.39,-7.80,-27.48,-0.40,-0.42,0.00

2683,1.02,8.20,7.34,-22.83,-8.36,-26.86,-0.43,-0.28,-0.01

2691,1.03,7.85,5.67,-22.92,-7.80,-26.48,-0.39,-0.07,-0.04

2709,0.66,8.19,5.67,-22.83,-9.27,-27.01,-0.45,0.20,-0.16

2724,0.70,8.28,5.97,-22.24,-8.68,-27.65,-0.43,0.53,-0.19

2732,0.57,8.67,6.78,-22.24,-9.18,-27.48,-0.43,0.59,-0.21

2739,1.32,8.38,6.80,-21.72,-9.41,-28.47,-0.48,0.55,-0.22

2746,1.29,8.30,6.51,-21.40,-9.50,-28.21,-0.29,0.73,-0.36

2753,1.26,8.33,7.28,-21.92,-9.97,-28.56,-0.12,0.83,-0.45

2760,1.01,8.46,7.75,-20.78,-9.56,-28.62,-0.13,0.68,-0.53

2766,0.80,8.66,7.68,-20.93,-9.76,-28.62,-0.18,0.50,-0.56

2774,0.66,8.71,7.60,-20.96,-10.17,-29.00,-0.15,0.37,-0.55

2785,0.89,8.57,7.37,-20.32,-10.70,-29.58,0.04,0.21,-0.47

2792,1.00,8.10,7.09,-19.79,-10.99,-29.29,0.14,0.20,-0.44

2799,1.00,7.71,6.98,-19.44,-11.14,-29.79,0.25,0.22,-0.46

2806,0.93,7.68,7.00,-19.38,-10.90,-29.55,0.32,0.22,-0.50

2814,0.85,7.75,6.88,-19.35,-10.82,-29.32,0.39,0.19,-0.53

2820,0.67,7.57,6.98,-19.12,-11.31,-29.99,0.44,0.15,-0.54

2838,0.96,7.54,6.78,-18.74,-11.66,-30.63,0.55,-0.05,-0.45

2851,1.53,7.51,6.45,-18.33,-11.63,-31.42,0.92,0.10,-0.36

2858,1.60,7.39,6.48,-18.12,-11.75,-30.96,0.94,0.14,-0.33

2868,1.29,7.10,6.45,-17.71,-11.43,-31.66,0.86,0.13,-0.33

2875,1.28,6.98,6.18,-17.60,-11.49,-31.72,0.87,0.10,-0.32

2882,1.06,6.66,6.16,-17.60,-11.60,-32.18,0.71,0.10,-0.29

2889,0.86,6.58,6.22,-17.28,-11.34,-32.18,0.69,0.15,-0.23

2896,1.00,6.42,6.10,-16.49,-11.31,-32.59,0.63,0.28,-0.14

2904,1.13,6.10,6.16,-16.66,-11.52,-32.97,0.64,0.48,-0.08

2911,1.20,5.82,6.65,-16.37,-11.31,-32.53,0.69,0.73,-0.04

2917,1.26,5.56,6.73,-16.19,-10.87,-33.47,0.74,0.90,-0.04

2924,1.26,5.28,7.31,-15.70,-11.14,-33.27,0.86,1.02,-0.12

2936,1.44,5.64,8.00,-14.82,-10.99,-33.29,0.92,0.80,-0.37

2944,1.47,5.97,8.21,-14.70,-10.41,-33.12,0.94,0.63,-0.50

2951,1.56,6.43,7.98,-14.18,-10.70,-34.00,0.96,0.39,-0.59

2968,1.95,6.80,7.08,-13.71,-10.82,-34.58,1.24,0.07,-0.35

2980,1.72,5.87,6.37,-13.18,-10.29,-34.46,1.46,-0.02,-0.11

2988,1.44,5.08,5.56,-12.63,-10.14,-34.29,1.55,-0.06,0.03

2995,1.52,4.31,5.15,-13.21,-8.94,-35.60,1.70,-0.17,0.21

3002,1.35,3.41,4.80,-12.86,-8.62,-34.90,1.76,-0.50,0.51

3012,0.01,0.77,2.85,-13.01,-7.98,-35.17,1.66,-1.41,0.97

3019,-1.73,-2.05,0.75,-13.68,-7.34,-35.78,1.70,-1.81,1.32

3026,-2.62,-5.25,-0.95,-14.24,-6.28,-35.57,1.90,-2.12,1.63

3034,-2.18,-7.10,-1.61,-21.86,-5.55,-35.40,2.19,-2.41,1.95

3040,-2.98,-9.56,-2.25,-16.49,-4.71,-34.93,2.31,-2.79,2.36

3047,-1.83,-10.28,-2.39,-17.86,-3.74,-35.31,1.97,-3.17,2.51

3054,-1.71,-10.25,-0.73,-18.77,-3.30,-34.00,1.24,-3.85,2.38

3061,-1.10,-7.76,-1.76,-20.02,-2.40,-33.65,0.21,-4.31,1.93

3068,-2.09,-5.61,-1.61,-21.60,-2.43,-32.91,-1.28,-4.25,1.15

3080,1.62,4.41,0.04,-24.58,-2.51,-31.83,-3.02,-3.11,-0.15

3098,4.17,17.98,5.05,-25.55,-5.52,-29.58,-4.23,0.63,-2.43

3110,4.11,22.56,8.88,-25.02,-6.52,-28.18,-4.47,2.31,-2.72

3118,3.93,24.59,10.81,-24.52,-7.63,-28.21,-4.05,3.05,-2.38

3125,0.19,24.07,12.64,-23.53,-7.92,-27.86,-3.51,3.46,-1.55

3132,0.75,22.23,14.39,-22.98,-8.01,-27.83,-2.59,3.69,-0.68

3139,-0.62,17.91,16.65,-22.04,-8.89,-28.47,-1.85,3.46,0.25

3145,0.03,13.46,18.30,-21.13,-9.09,-28.62,-1.05,2.79,0.77

3157,0.80,8.54,16.83,-20.93,-8.56,-29.29,0.00,1.33,0.83

3163,1.38,7.06,15.68,-20.87,-8.65,-29.17,0.55,0.56,0.60

3170,1.31,5.67,15.46,-20.87,-8.27,-29.20,0.86,-0.44,0.27

3177,1.08,5.77,14.32,-20.90,-7.78,-29.35,1.05,-1.34,-0.01

3184,0.94,6.86,11.62,-21.57,-7.80,-29.14,1.20,-2.19,-0.22

3191,0.74,7.79,9.68,-22.19,-7.57,-29.09,1.33,-2.60,-0.22

3199,0.17,8.38,7.76,-22.27,-7.13,-28.30,1.35,-2.90,-0.09

3206,0.07,8.19,6.32,-22.62,-7.57,-28.06,1.30,-3.04,0.08

3224,0.25,7.11,2.94,-24.76,-6.78,-27.21,0.55,-2.80,0.43

3239,0.21,7.06,2.45,-26.02,-6.31,-27.04,-0.05,-1.28,0.43

3247,0.60,7.24,2.33,-26.37,-6.46,-26.89,-0.40,-0.71,0.33

3254,0.64,7.65,2.25,-25.99,-6.55,-26.60,-0.53,0.15,0.25

3260,0.79,7.65,3.89,-26.43,-7.04,-26.48,-0.56,0.81,0.20

3267,0.78,7.52,5.33,-26.40,-7.22,-26.34,-0.63,1.30,0.13

3274,0.75,7.36,6.29,-25.90,-6.78,-26.81,-0.69,1.46,0.06

3281,0.66,7.39,7.16,-25.90,-6.84,-27.10,-0.68,1.52,-0.03

